timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti_corr_acc,reg_ti_corr_n,reg_ti_corr,reg_ti
2025-11-24 14:16:29.930316,1,Hofsjoekull E,train,8.333741,27.369913,30.0,0.9123305,479.04208,126.62928,3.783028,7.3375444,30.0,0.24458483,87.71732,133.44992,0.6573052,55.60016,30.0,1.8533387,454.53955,130.62196,3.4798095,3.3687177,30.0,0.1122906,0.00028160497
2025-11-24 14:20:11.988465,1,Eyjabakkajokull,train,8.297667,57.659782,27.0,2.1355474,304.00247,77.28858,3.9333427,2.48915,19.0,0.1310079,37.183277,84.920746,0.43785858,56.901978,20.0,2.845099,278.5041,87.04567,3.199517,6.465053,30.0,0.21550179,0.00028160497
2025-11-24 14:23:34.527708,1,Corbassiere,train,2.5938506,15.645107,28.0,0.55875385,390.70184,177.60979,2.1997766,0.563186,22.0,0.025599364,0.0,0.0,,16.729563,22.0,0.7604347,0.0,0.0,,7.779414,30.0,0.25931382,0.00028160497
2025-11-24 14:26:17.756627,1,Rhone,train,2.5105047,2.2883847,18.0,0.12713249,335.22385,191.19017,1.753353,6.9204216,18.0,0.38446787,3041.849,6514.338,0.46694678,4.2414613,18.0,0.23563674,0.0,0.0,,6.4559937,30.0,0.2151998,0.00028160497
2025-11-24 14:27:55.293728,1,Svelgjabreen,train,3.4594836,15.95899,10.0,1.595899,83.94022,52.0,1.6142352,8.308771,10.0,0.8308771,41.0133,51.0,0.8041824,2.7309284,10.0,0.27309284,31.79668,53.0,0.5999374,3.929784,23.0,0.17086019,0.00028160497
2025-11-24 14:29:39.629715,1,Blomstoelskardsbreen,train,3.730918,15.167928,10.0,1.5167928,100.853516,56.0,1.8009558,9.463372,10.0,0.9463372,55.27318,54.0,1.0235773,2.6910968,10.0,0.2691097,28.892857,56.0,0.5159439,2.6895158,23.0,0.11693548,0.00028160497
2025-11-24 14:31:03.553465,1,Werenskioldbreen,train,5.202114,10.016543,5.0,2.0033088,37.4635,20.0,1.873175,0.06117893,3.0,0.020392977,0.45741293,13.0,0.035185613,5.2666364,3.0,1.7555455,29.77098,11.0,2.7064528,5.854644,28.0,0.20909443,0.00028160497
2025-11-24 14:35:01.024404,1,Engabreen,train,5.204264,25.79314,30.0,0.8597714,389.082,141.64978,2.7467885,31.853342,29.0,1.098391,213.1223,140.70285,1.5146978,5.953265,29.0,0.20528501,71.360985,139.46088,0.5116918,6.433787,30.0,0.21445957,0.00028160497
2025-11-24 14:36:35.913737,1,Groenfjord E,train,1.2222062,3.9451387,9.0,0.43834874,59.283585,90.0,0.6587065,0.7741709,6.0,0.12902848,11.727724,75.0,0.15636964,5.324973,6.0,0.8874955,0.0,0.0,,7.5794764,29.0,0.26136124,0.00028160497
2025-11-24 14:39:25.027029,1,Findelen,train,12.751674,21.95671,20.0,1.0978355,1495.6205,246.68,6.0629983,0.18649441,17.0,0.010970259,15.934831,164.76926,0.096709974,18.992374,17.0,1.1171985,529.61743,85.679985,6.1813436,5.632209,30.0,0.18774031,0.00028160497
2025-11-24 14:40:15.381126,1,Hintereis F,train,3.385789,8.387955,30.0,0.2795985,883.12225,421.4358,2.0955083,3.464422,12.0,0.28870183,93.01122,249.73973,0.37243265,9.626841,12.0,0.80223674,0.4846276,0.9516897,0.5092286,8.138524,30.0,0.27128416,0.00028160497
2025-11-24 14:40:56.577894,1,Austre Okstindbreen,train,0.2685041,0.83311176,2.0,0.41655588,0.0,0.0,,0.6514812,2.0,0.3257406,0.0,0.0,,0.19240868,2.0,0.09620434,0.0,0.0,,0.36874485,2.0,0.18437243,0.00028160497
2025-11-24 14:44:51.899559,1,Allalin,train,7.0913825,63.14436,30.0,2.1048121,719.06726,190.9511,3.7657142,5.170869,27.0,0.19151366,0.1582699,4.03447,0.039229415,38.885826,27.0,1.4402158,10.447049,4.0,2.6117623,9.022236,30.0,0.30074123,0.00028160497
2025-11-24 14:46:50.813208,1,Austre Broeggerbreen,train,0.4558639,14.119849,12.0,1.1766541,0.0,0.0,,0.1077867,9.0,0.0119763,0.0,0.0,,10.711493,9.0,1.1901659,0.0,0.0,,3.2655396,15.0,0.21770266,0.00028160497
2025-11-24 14:49:03.925122,1,Tsanfleuron,train,4.032903,10.416203,15.0,0.69441354,52.69589,64.460754,0.8174879,12.650019,15.0,0.8433346,15.552629,39.03868,0.39839023,31.221474,15.0,2.0814316,42.796104,19.0,2.2524266,6.071966,30.0,0.20239888,0.00028160497
2025-11-24 14:53:18.893419,1,Claridenfirn,train,1.9345767,6.7022896,30.0,0.22340967,41.80185,60.92034,0.6861723,8.953508,30.0,0.2984503,52.42186,66.71619,0.78574425,19.247572,30.0,0.64158577,4.5117445,37.20673,0.121261515,6.743171,30.0,0.22477238,0.00028160497
2025-11-24 14:54:08.455696,1,Austre Lovenbreen,train,0.8934395,8.0917225,17.0,0.47598368,296.6334,555.0856,0.5343922,0.60228,17.0,0.035428237,0.0,0.0,,11.043541,17.0,0.64962006,0.0,0.0,,7.279874,30.0,0.24266247,0.00028160497
2025-11-24 14:56:00.623522,1,Vernagt F,train,2.7814856,17.391293,30.0,0.57970977,701.84656,285.5903,2.4575293,0.6793241,29.0,0.023424968,8.462499,239.0,0.03540794,20.411516,29.0,0.7038454,0.0,0.0,,4.7270627,30.0,0.15756877,0.00028160497
2025-11-24 15:00:01.780633,1,Langfjordjoekelen,train,3.690906,45.37488,28.0,1.6205316,226.82324,124.0,1.8292197,37.102116,27.0,1.3741524,107.524864,110.95238,0.9691083,2.2627602,27.0,0.08380593,38.0876,112.95238,0.33720052,7.4174056,30.0,0.24724686,0.00028160497
2025-11-24 15:03:18.500903,1,Hohlaub,train,3.229366,39.977463,30.0,1.3325821,63.605434,27.000008,2.355756,2.256565,30.0,0.07521884,16.950058,42.0,0.40357283,41.147545,30.0,1.3715849,0.0,0.0,,5.7545166,30.0,0.19181722,0.00028160497
2025-11-24 15:05:59.347797,1,Gebroulaz,train,0.70750445,8.595786,29.0,0.29640642,213.52354,416.361,0.5128327,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.777736,29.0,0.16474952,0.00028160497
2025-11-24 15:08:01.123425,1,Midtre Lovenbreen,train,0.29239377,3.2116444,12.0,0.26763704,0.0,0.0,,0.23847282,12.0,0.019872736,0.0,0.0,,4.420197,12.0,0.36834976,0.0,0.0,,3.397893,15.0,0.22652622,0.00028160497
2025-11-24 15:09:59.829866,1,Graafjellsbrea,train,2.232957,2.0200062,11.0,0.18363693,46.691372,42.0,1.1116993,1.4695873,10.0,0.14695874,12.13788,40.731003,0.29800102,2.3941782,10.0,0.23941782,23.013304,40.731003,0.56500703,3.8183665,19.0,0.20096666,0.00028160497
2025-11-24 15:14:06.608602,1,Storbreen,train,0.47522008,33.145847,30.0,1.1048616,0.0,0.0,,14.805827,29.0,0.5105458,0.0,0.0,,10.799014,29.0,0.3723798,0.0,0.0,,8.284793,30.0,0.27615976,0.00028160497
2025-11-24 15:15:40.288447,1,Svenbreen,train,2.123582,7.008442,8.0,0.87605524,188.46272,180.0,1.0470152,0.0,0.0,,0.45817938,28.0,0.01636355,0.0,0.0,,21.454348,28.0,0.7662267,5.976598,29.0,0.20608957,0.00028160497
2025-11-24 15:18:51.177394,1,Silvretta,train,0.9054971,4.454844,30.0,0.14849481,94.62187,262.07605,0.3610474,8.023263,29.0,0.27666423,50.930553,205.30887,0.24806798,7.3663845,29.0,0.25401327,0.0,0.0,,6.845487,30.0,0.22818291,0.00028160497
2025-11-24 15:19:25.680906,1,Storsteinsfjellbreen,train,1.4094071,0.035421718,1.0,0.035421718,1.7747434,6.0562735,0.29304215,0.19631128,1.0,0.19631128,3.7968955,7.0,0.54241365,0.3985106,1.0,0.3985106,1.7363467,4.710435,0.3686171,0.14202836,1.0,0.14202836,0.00028160497
2025-11-24 15:22:21.531358,1,Adler,train,10.519103,57.706764,19.0,3.037198,260.27304,50.59452,5.144293,1.7725425,16.0,0.110783905,4.1800385,32.53198,0.12849014,35.907658,16.0,2.2442286,95.11895,21.0,4.529474,5.320284,30.0,0.1773428,0.00028160497
2025-11-24 15:24:19.773344,1,Rabots Glaciaer,train,2.1352026,10.0598955,10.0,1.0059896,78.00622,47.75546,1.6334513,1.3246565,9.0,0.14718406,25.136812,177.0,0.14201589,5.3848195,9.0,0.5983133,0.0,0.0,,5.5291524,30.0,0.18430509,0.00028160497
2025-11-24 15:24:49.820556,1,Svartisheibreen,train,0.31140828,0.85522735,1.0,0.85522735,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.22560394,1.0,0.22560394,0.00028160497
2025-11-24 15:26:48.081054,1,Breidablikkbrea,train,1.9191508,2.3870966,11.0,0.2170088,36.30762,57.0,0.6369758,1.7447219,10.0,0.1744722,21.176311,56.804367,0.37279373,4.995928,10.0,0.49959278,35.336697,52.804367,0.6692003,2.8650465,19.0,0.15079193,0.00028160497
2025-11-24 15:31:17.293295,1,Hellstugubreen,train,4.60598,19.461683,29.0,0.6710925,28.324425,10.951092,2.5864477,2.7286515,29.0,0.09409143,0.69746363,11.856805,0.05882391,10.397792,29.0,0.35854456,16.486797,9.859111,1.6722398,5.098601,29.0,0.17581382,0.00028160497
2025-11-24 15:33:22.526106,1,Storglaciaeren,train,2.71726,17.406374,10.0,1.7406374,682.9159,444.56955,1.5361284,4.832457,9.0,0.5369397,575.5281,762.0,0.75528616,3.6647952,9.0,0.40719947,0.0,0.0,,4.712586,30.0,0.15708621,0.00028160497
2025-11-24 15:37:37.317993,1,Aalfotbreen,train,4.6120605,20.24371,30.0,0.6747904,169.1814,175.781,0.9624555,63.97993,29.0,2.2062044,341.5501,155.70528,2.193568,27.000782,29.0,0.93106145,137.13048,151.70657,0.90391916,5.1189165,30.0,0.17063056,0.00028160497
