timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti_corr_acc,reg_ti_corr_n,reg_ti_corr,reg_ti
2025-11-27 10:58:43.622109,1,Eyjabakkajokull,train,2.4236484,28.799221,27,1.0666379,28.24562,77.28858,0.36545658,4.053571,19,0.21334586,32.025826,84.920746,0.37712604,33.501953,20,1.6750977,62.421444,87.04567,0.7171114,20.044928,30,0.6681643,0.00028160497
2025-11-27 11:02:28.359717,1,Corbassiere,train,1.3021963,9.606567,28,0.3430917,193.07628,177.60979,1.0870813,0.7432981,22,0.03378628,0,0,,10.738077,22,0.48809442,0,0,,3.8500838,30,0.12833613,0.00028160497
2025-11-27 11:05:33.484430,1,Rhone,train,1.5027862,1.6731007,18,0.09295004,168.0721,191.19017,0.8790834,3.6131978,18,0.20073321,2148.8276,6514.338,0.32986125,4.1563964,18,0.23091091,0,0,,7.2330155,30,0.24110053,0.00028160497
2025-11-27 11:07:32.022548,1,Svelgjabreen,train,1.5115036,1.8372711,10,0.18372712,22.249535,52.0,0.42787567,1.6707298,10,0.16707298,15.214551,51.0,0.29832453,1.5308771,10,0.15308772,20.38027,53.0,0.3845334,8.052292,23,0.35009965,0.00028160497
2025-11-27 11:09:36.284344,1,Blomstoelskardsbreen,train,1.6835158,3.4964445,10,0.34964445,32.478775,56.0,0.57997817,2.5739636,10,0.25739637,18.742147,54.0,0.3470768,2.2522235,10,0.22522235,19.305431,56.0,0.34473985,7.5489016,23,0.32821313,0.00028160497
2025-11-27 11:11:26.900837,1,Werenskioldbreen,train,3.5123897,6.445462,5,1.2890924,19.193562,20.0,0.9596781,0.12036721,3,0.040122405,0.75011146,13.0,0.057700884,3.4698148,3,1.156605,18.889067,11.0,1.7171879,14.810848,28,0.5289589,0.00028160497
2025-11-27 11:15:42.976189,1,Engabreen,train,2.383779,9.569705,30,0.31899017,115.00198,141.64978,0.81187546,15.619356,29,0.5385985,104.03311,140.70285,0.7393817,7.903717,29,0.27254197,40.13939,139.46088,0.28781828,12.942262,30,0.43140873,0.00028160497
2025-11-27 11:17:41.349032,1,Groenfjord E,train,0.7541685,2.1464837,9,0.23849818,28.539469,90.0,0.3171052,0.9099361,6,0.15165602,13.691927,75.0,0.18255901,3.5139525,6,0.5856588,0,0,,4.5426016,29,0.15664144,0.00028160497
2025-11-27 11:20:26.589947,1,Findelen,train,3.6037002,7.8335204,20,0.39167604,303.15317,246.68,1.2289329,0.3769815,17,0.022175383,8.896488,164.76926,0.05399362,7.848136,17,0.46165505,141.10233,85.679985,1.6468529,17.582659,30,0.58608866,0.00028160497
2025-11-27 11:21:31.123919,1,Hintereis F,train,2.0951104,6.204432,30,0.20681441,482.0843,421.4358,1.1439092,2.9372845,12,0.24477372,84.649895,249.73973,0.33895245,7.0986795,12,0.59155667,0.24884494,0.9516897,0.26147696,7.38527,30,0.24617568,0.00028160497
2025-11-27 11:22:13.137429,1,Austre Okstindbreen,train,0.2154527,0.34874544,2,0.17437272,0,0,,0.25587636,2,0.12793818,0,0,,0.17401265,2,0.08700632,0,0,,0.35247874,2,0.17623937,0.00028160497
