timestamp,epoch,glacier,subset,loss,point_annual_error,point_annual_mse,point_annual_n,point_summer_error,point_summer_mse,point_summer_n,point_winter_error,point_winter_mse,point_winter_n,reg_ti,total_annual_error,total_annual_mse,total_annual_n,total_summer_error,total_summer_mse,total_summer_n,total_winter_error,total_winter_mse,total_winter_n
2025-12-11 13:39:28.679181,9,Rembesdalskaaka,val,2.3007114,7.085688,1.1984571,5.912342,0.8966411,0.1044965,8.580585,9.250979,0.8365179,11.058914,0.011229067,3.6187322,0.60312206,6,0.45327523,0.07554588,6,4.928653,0.8214421,6
2025-12-11 13:39:29.360146,10,Rembesdalskaaka,train,2.8287172,45.342186,1.233798,36.750088,13.813413,0.37412226,36.922188,40.12555,1.0867598,36.922188,0.011229067,5.763584,0.32019913,18,4.6568384,0.25871325,18,11.68504,0.6491689,18
2025-12-11 13:39:29.437370,10,Rembesdalskaaka,val,2.2686346,7.016064,1.186681,5.912342,0.87884617,0.10242265,8.580585,9.052126,0.8185366,11.058914,0.013619088,3.632173,0.6053622,6,0.4280888,0.07134814,6,4.782242,0.79704034,6
2025-12-11 13:39:30.112322,11,Rembesdalskaaka,train,2.780175,44.824833,1.2197204,36.750088,13.335476,0.36117783,36.922188,39.350204,1.0657604,36.922188,0.013619088,5.7259083,0.31810603,18,4.5212965,0.25118315,18,11.334274,0.6296819,18
2025-12-11 13:39:30.190731,11,Rembesdalskaaka,val,2.2401664,6.962396,1.1776038,5.912342,0.862642,0.10053417,8.580585,8.855419,0.8007494,11.058914,0.016250378,3.6600246,0.6100041,6,0.40416235,0.06736039,6,4.6375246,0.7729208,6
2025-12-11 13:39:30.860673,12,Rembesdalskaaka,train,2.7322943,44.338936,1.2064987,36.750088,12.832622,0.34755853,36.922188,38.58045,1.0449123,36.922188,0.016250378,5.7073517,0.3170751,18,4.378584,0.24325466,18,10.987456,0.61041427,18
2025-12-11 13:39:30.937092,12,Rembesdalskaaka,val,2.2139525,6.916464,1.1698349,5.912342,0.8492195,0.09896989,8.580585,8.660538,0.7831273,11.058914,0.019130638,3.695958,0.615993,6,0.3833719,0.063895315,6,4.4940653,0.7490109,6
2025-12-11 13:39:31.600992,13,Rembesdalskaaka,train,2.6853626,43.87265,1.1938107,36.750088,12.327852,0.33388737,36.922188,37.81542,1.0241922,36.922188,0.019130638,5.699777,0.3166543,18,4.237622,0.23542343,18,10.644068,0.5913371,18
2025-12-11 13:39:31.677007,13,Rembesdalskaaka,val,2.188475,6.8697014,1.1619256,5.912342,0.8391404,0.09779525,8.580585,8.467119,0.76563746,11.058914,0.022258334,3.7330914,0.6221819,6,0.36694983,0.061158307,6,4.351448,0.72524136,6
2025-12-11 13:39:32.345678,14,Rembesdalskaaka,train,2.63952,43.412033,1.1812769,36.750088,11.841591,0.32071748,36.922188,37.054283,1.0035777,36.922188,0.022258334,5.694351,0.31635284,18,4.1061115,0.2281173,18,10.303657,0.57242537,18
2025-12-11 13:39:32.422739,14,Rembesdalskaaka,val,2.1619434,6.8125744,1.1522633,5.912342,0.8322369,0.0969907,8.580585,8.274927,0.74825853,11.058914,0.025628587,3.7633827,0.62723047,6,0.35542217,0.05923703,6,4.209333,0.7015555,6
2025-12-11 13:39:33.086272,15,Rembesdalskaaka,train,2.5947359,42.93979,1.1684268,36.750088,11.391767,0.30853444,36.922188,36.296352,0.98304987,36.922188,0.025628587,5.6806617,0.31559232,18,3.9908295,0.22171275,18,9.965843,0.55365795,18
2025-12-11 13:39:33.162949,15,Rembesdalskaaka,val,2.132264,6.734512,1.1390599,5.912342,0.8275205,0.09644104,8.580585,8.083706,0.7309674,11.058914,0.029237201,3.7775764,0.6295961,6,0.34852174,0.058086958,6,4.0674114,0.6779019,6
2025-12-11 13:39:33.840186,16,Rembesdalskaaka,train,2.5508437,42.436096,1.1547209,36.750088,10.994134,0.29776496,36.922188,35.54112,0.96259516,36.922188,0.029237201,5.6467495,0.3137083,18,3.8974369,0.21652427,18,9.630333,0.5350185,18
2025-12-11 13:39:33.917791,16,Rembesdalskaaka,val,2.097768,6.6275845,1.1209745,5.912342,0.8234694,0.09596892,8.580585,7.893445,0.7137631,11.058914,0.033076342,3.7683146,0.6280525,6,0.34519953,0.057533257,6,3.9255903,0.65426505,6
2025-12-11 13:39:34.584365,17,Rembesdalskaaka,train,2.507851,41.890038,1.1398622,36.750088,10.66168,0.28876078,36.922188,34.788548,0.9422125,36.922188,0.033076342,5.583345,0.31018582,18,3.828511,0.21269506,18,9.297165,0.5165092,18
2025-12-11 13:39:34.662224,17,Rembesdalskaaka,val,2.0580435,6.490489,1.0977865,5.912342,0.8187406,0.09541781,8.580585,7.704502,0.696678,11.058914,0.03712903,3.7336898,0.6222817,6,0.3440734,0.05734557,6,3.78417,0.630695,6
2025-12-11 13:39:35.342197,18,Rembesdalskaaka,train,2.4655511,41.292778,1.1236103,36.750088,10.395757,0.2815585,36.922188,34.03973,0.92193156,36.922188,0.03712903,5.4886622,0.30492568,18,3.7823162,0.21012868,18,8.966984,0.49816576,18
2025-12-11 13:39:35.424550,18,Rembesdalskaaka,val,2.0119915,6.3183312,1.0686681,5.912342,0.81193924,0.09462517,8.580585,7.5169144,0.6797154,11.058914,0.04138293,3.669065,0.6115109,6,0.34379125,0.05729854,6,3.6431332,0.6071889,6
2025-12-11 13:39:36.112254,19,Rembesdalskaaka,train,2.4234388,40.623047,1.1053864,36.750088,10.199699,0.2762485,36.922188,33.29531,0.9017697,36.922188,0.04138293,5.357838,0.29765767,18,3.7594354,0.20885752,18,8.639895,0.4799942,18
2025-12-11 13:39:36.191804,19,Rembesdalskaaka,val,1.9596543,6.1118135,1.0337381,5.912342,0.8023806,0.09351119,8.580585,7.330933,0.66289806,11.058914,0.045829147,3.5747046,0.5957841,6,0.343271,0.05721183,6,3.5026884,0.5837814,6
2025-12-11 13:39:36.865389,20,Rembesdalskaaka,train,2.3816292,39.88909,1.0854149,36.750088,10.069031,0.2727095,36.922188,32.556103,0.88174903,36.922188,0.045829147,5.192904,0.28849468,18,3.7575622,0.20875345,18,8.316339,0.46201882,18
2025-12-11 13:39:36.944264,20,Rembesdalskaaka,val,1.9023025,5.8777328,0.9941463,5.912342,0.7903769,0.09211224,8.580585,7.146887,0.64625573,11.058914,0.05046608,3.45428,0.57571334,6,0.3419208,0.0569868,6,3.3631246,0.56052077,6
2025-12-11 13:39:37.617988,21,Rembesdalskaaka,train,2.3405058,39.10932,1.0641967,36.750088,9.997777,0.27077964,36.922188,31.822971,0.8618929,36.922188,0.05046608,5.0005665,0.27780926,18,3.7733018,0.20962788,18,7.9968524,0.44426957,18
2025-12-11 13:39:37.697418,21,Rembesdalskaaka,val,1.8432171,5.633055,0.95276207,5.912342,0.7771078,0.09056583,8.580585,6.9655824,0.62986135,11.058914,0.055287417,3.3193865,0.5532311,6,0.33985043,0.05664174,6,3.2251961,0.5375327,6
2025-12-11 13:39:38.362986,22,Rembesdalskaaka,train,2.3006256,38.33699,1.043181,36.750088,9.948839,0.2694542,36.922188,31.098375,0.84226793,36.922188,0.055287417,4.796761,0.26648673,18,3.7988713,0.21104841,18,7.6826925,0.42681625,18
2025-12-11 13:39:38.440307,22,Rembesdalskaaka,val,1.7845076,5.3888416,0.91145635,5.912342,0.76290137,0.088910185,8.580585,6.7875433,0.6137622,11.058914,0.060290188,3.1786299,0.5297717,6,0.3372981,0.05621635,6,3.0893958,0.5148993,6
2025-12-11 13:39:39.111152,23,Rembesdalskaaka,train,2.261653,37.57374,1.0224122,36.750088,9.905096,0.26826948,36.922188,30.383942,0.82291824,36.922188,0.060290188,4.593389,0.2551883,18,3.829276,0.21273756,18,7.3746815,0.40970454,18
2025-12-11 13:39:39.194476,23,Rembesdalskaaka,val,1.7262124,5.1455326,0.87030363,5.912342,0.7472729,0.08708881,8.580585,6.612734,0.59795505,11.058914,0.065480106,3.0331388,0.50552315,6,0.33428258,0.055713765,6,2.9556682,0.49261138,6
2025-12-11 13:39:39.953172,24,Rembesdalskaaka,train,2.2214568,36.77468,1.0006691,36.750088,9.832595,0.26630586,36.922188,29.679386,0.80383605,36.922188,0.065480106,4.3927484,0.24404158,18,3.8643742,0.21468745,18,7.072727,0.3929293,18
2025-12-11 13:39:40.048878,24,Rembesdalskaaka,val,1.6654738,4.8886433,0.82685393,5.912342,0.7296862,0.08503922,8.580585,6.439953,0.5823314,11.058914,0.07089386,2.8681726,0.47802877,6,0.33035916,0.05505986,6,2.8227913,0.47046524,6
2025-12-11 13:39:40.755848,25,Rembesdalskaaka,train,2.1800017,35.922764,0.9774878,36.750088,9.751085,0.26409826,36.922188,28.980555,0.7849089,36.922188,0.07089386,4.180087,0.23222706,18,3.9153585,0.21751992,18,6.7749023,0.37638345,18
2025-12-11 13:39:40.841617,25,Rembesdalskaaka,val,1.6052808,4.6324987,0.78353024,5.912342,0.71241003,0.08302581,8.580585,6.2699733,0.56696105,11.058914,0.076524906,2.6963267,0.4493878,6,0.3264507,0.054408453,6,2.6915493,0.44859156,6
2025-12-11 13:39:41.570744,26,Rembesdalskaaka,train,2.140064,35.082436,0.9546218,36.750088,9.694176,0.2625569,36.922188,28.289845,0.76620173,36.922188,0.076524906,3.970991,0.2206106,18,3.9751093,0.22083941,18,6.4824524,0.36013624,18
2025-12-11 13:39:41.662952,26,Rembesdalskaaka,val,1.5499313,4.3983183,0.7439215,5.912342,0.69685876,0.08121344,8.580585,6.1044617,0.5519947,11.058914,0.082334414,2.5412412,0.4235402,6,0.32313883,0.053856473,6,2.5636528,0.42727548,6
2025-12-11 13:39:42.370094,27,Rembesdalskaaka,train,2.1031585,34.319427,0.9338597,36.750088,9.646142,0.26125598,36.922188,27.612696,0.74786186,36.922188,0.082334414,3.78908,0.21050444,18,4.0252357,0.2236242,18,6.19802,0.34433445,18
2025-12-11 13:39:42.458057,27,Rembesdalskaaka,val,1.5006999,4.1930594,0.7092045,5.912342,0.68267274,0.07956017,8.580585,5.943898,0.53747576,11.058914,0.08830383,2.4096007,0.40160012,6,0.32009098,0.053348497,6,2.4396448,0.40660748,6
2025-12-11 13:39:43.177635,28,Rembesdalskaaka,train,2.0679657,33.61597,0.9147181,36.750088,9.57565,0.25934678,36.922188,26.950624,0.72993034,36.922188,0.08830383,3.6388168,0.2021565,18,4.0588064,0.22548924,18,5.922401,0.3290223,18
2025-12-11 13:39:43.266060,28,Rembesdalskaaka,val,1.4613607,4.0365667,0.6827357,5.912342,0.66926396,0.077997476,8.580585,5.790175,0.52357537,11.058914,0.094353855,2.3230193,0.3871699,6,0.31741616,0.052902695,6,2.321465,0.38691086,6
2025-12-11 13:39:43.999801,29,Rembesdalskaaka,train,2.0366132,33.027042,0.89869285,36.750088,9.502705,0.25737113,36.922188,26.310308,0.712588,36.922188,0.094353855,3.535022,0.1963901,18,4.0556226,0.22531237,18,5.658679,0.31437105,18
2025-12-11 13:39:44.095339,29,Rembesdalskaaka,val,1.4320791,3.929635,0.6646495,5.912342,0.65645784,0.07650503,8.580585,5.6438475,0.51034373,11.058914,0.10043543,2.2832365,0.38053942,6,0.3158645,0.052644085,6,2.2096238,0.36827064,6
2025-12-11 13:39:44.844641,30,Rembesdalskaaka,train,2.004252,32.504333,0.8844695,36.750088,9.2962675,0.25177997,36.922188,25.694752,0.6959163,36.922188,0.10043543,3.4747643,0.19304247,18,4.014577,0.22303206,18,5.4077797,0.3004322,18
2025-12-11 13:39:44.937054,30,Rembesdalskaaka,val,1.409309,3.8530562,0.6516971,5.912342,0.64511716,0.075183354,8.580585,5.503437,0.49764714,11.058914,0.1065815,2.2726216,0.3787703,6,0.3167598,0.0527933,6,2.1026168,0.35043615,6
2025-12-11 13:39:45.674707,31,Rembesdalskaaka,train,1.9718833,32.02219,0.87135,36.750088,9.02336,0.24438857,36.922188,25.098799,0.6797755,36.922188,0.1065815,3.4407768,0.19115427,18,3.9536803,0.21964891,18,5.1673374,0.2870743,18
2025-12-11 13:39:45.768374,31,Rembesdalskaaka,val,1.3914238,3.7974443,0.64229107,5.912342,0.63638306,0.07416546,8.580585,5.3683667,0.48543343,11.058914,0.11279576,2.282961,0.3804935,6,0.32152897,0.053588163,6,1.9997957,0.33329928,6
2025-12-11 13:39:46.522009,32,Rembesdalskaaka,train,1.9404633,31.574167,0.85915893,36.750088,8.726944,0.23636043,36.922188,24.520603,0.66411567,36.922188,0.11279576,3.4258165,0.19032314,18,3.8836315,0.21575731,18,4.936417,0.2742454,18
2025-12-11 13:39:46.620412,32,Rembesdalskaaka,val,1.3768922,3.7542486,0.634985,5.912342,0.63090765,0.07352735,8.580585,5.2381725,0.47366065,11.058914,0.11907347,2.307035,0.38450584,6,0.33107418,0.05517903,6,1.9006227,0.31677046,6
2025-12-11 13:39:47.332769,33,Rembesdalskaaka,train,1.9104383,31.154,0.8477258,36.750088,8.430934,0.2283433,36.922188,23.95878,0.64889926,36.922188,0.11907347,3.4238763,0.19021535,18,3.813206,0.21184477,18,4.714283,0.26190463,18
2025-12-11 13:39:47.413147,33,Rembesdalskaaka,val,1.3629259,3.7082987,0.6272132,5.912342,0.62838507,0.073233366,8.580585,5.1124463,0.4622919,11.058914,0.12540615,2.336865,0.3894775,6,0.3454138,0.057568967,6,1.8046017,0.30076694,6
2025-12-11 13:39:48.094756,34,Rembesdalskaaka,train,1.8820738,30.753756,0.83683485,36.750088,8.154771,0.2208637,36.922188,23.412022,0.63409084,36.922188,0.12540615,3.4283135,0.19046186,18,3.7494802,0.20830446,18,4.5002723,0.25001514,18
2025-12-11 13:39:48.175438,34,Rembesdalskaaka,val,1.3453424,3.6372664,0.6151989,5.912342,0.62721896,0.07309746,8.580585,4.9908166,0.45129356,11.058914,0.13178435,2.3634276,0.39390463,6,0.3633694,0.060561568,6,1.7112943,0.28521574,6
2025-12-11 13:39:48.857818,35,Rembesdalskaaka,train,1.8554248,30.362831,0.8261975,36.750088,7.913312,0.21432403,36.922188,22.879211,0.61966026,36.922188,0.13178435,3.4313986,0.19063325,18,3.6973274,0.20540708,18,4.2938366,0.23854648,18
2025-12-11 13:39:48.938750,35,Rembesdalskaaka,val,1.3275322,3.563371,0.6027004,5.912342,0.62631667,0.07299231,8.580585,4.8730035,0.44064033,11.058914,0.13819852,2.377132,0.39618868,6,0.3825583,0.063759714,6,1.620352,0.2700587,6
2025-12-11 13:39:49.634549,36,Rembesdalskaaka,train,1.8303226,29.968315,0.8154624,36.750088,7.715891,0.20897707,36.922188,22.359476,0.6055837,36.922188,0.13819852,3.4246345,0.19025747,18,3.6589603,0.20327558,18,4.0945635,0.22747575,18
2025-12-11 13:39:49.719910,36,Rembesdalskaaka,val,1.3100673,3.492844,0.5907717,5.912342,0.6236044,0.07267622,8.580585,4.7588024,0.4303137,11.058914,0.14463791,2.368834,0.39480567,6,0.39970887,0.066618145,6,1.5315154,0.25525257,6
2025-12-11 13:39:50.399649,37,Rembesdalskaaka,train,1.80641,29.556597,0.8042592,36.750088,7.565743,0.20491047,36.922188,21.852207,0.59184486,36.922188,0.14463791,3.4001021,0.18889457,18,3.634081,0.20189339,18,3.9021893,0.21678829,18
2025-12-11 13:39:50.480771,37,Rembesdalskaaka,val,1.2892673,3.4066343,0.57619035,5.912342,0.6167221,0.071874134,8.580585,4.6481314,0.4203063,11.058914,0.15109038,2.3320446,0.3886741,6,0.4116581,0.068609685,6,1.444661,0.24077684,6
2025-12-11 13:39:51.170493,38,Rembesdalskaaka,train,1.783278,29.11685,0.7922933,36.750088,7.4607844,0.20206778,36.922188,21.357136,0.5784364,36.922188,0.15109038,3.3526788,0.18625994,18,3.6209037,0.20116132,18,3.7166312,0.2064795,18
