timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti
2025-11-15 18:54:28.877401,1,Svelgjabreen,train,3.766979,12.3579645,10,1.2357965,70.52442,52.0,1.356239,6.8622003,10,0.68622005,39.321278,51.0,0.77100545,2.3666296,10,0.23666297,29.700932,53.0,0.56039494,0.0
2025-11-15 18:54:36.548818,1,Blomstoelskardsbreen,train,4.0765753,12.351041,10,1.2351041,86.64325,56.0,1.5472009,8.030569,10,0.8030569,49.576866,54.0,0.9180901,2.5696301,10,0.256963,25.968441,56.0,0.46372217,0.0
2025-11-15 18:54:54.765928,1,Werenskioldbreen,train,6.6760607,10.523377,5,2.1046755,39.34422,20.0,1.967211,0.044838917,3,0.014946306,0.3653163,13.0,0.028101254,5.3678455,3,1.7892818,29.98926,11.0,2.7262964,0.0
2025-11-15 18:56:01.020449,1,Engabreen,train,5.424415,21.895065,30,0.72983557,353.84546,141.64978,2.4980304,30.097744,29,1.0378532,206.17673,140.70285,1.4653344,6.7141323,29,0.2315218,64.35358,139.46088,0.4614454,0.0
2025-11-15 18:56:08.037751,1,Groenfjord E,train,1.5345383,4.2104006,9,0.46782228,57.825005,90.0,0.64250004,0.71242195,6,0.118737,11.327985,75.0,0.1510398,5.3726254,6,0.8954376,0,0,,0.0
2025-11-15 18:56:54.224384,1,Findelen,train,12.9835415,24.613495,20,1.2306747,1417.3125,246.68,5.7455506,0.20495774,17,0.012056338,14.673423,164.76926,0.089054376,20.320635,17,1.1953315,508.07422,85.679985,5.9299054,0.0
2025-11-15 18:56:59.619135,1,Hintereis F,train,3.662013,9.862307,30,0.32874358,925.70856,421.4358,2.196559,3.005867,12,0.25048894,82.041885,249.73973,0.32850957,10.602105,12,0.8835088,0.38598052,0.9516897,0.4055739,0.0
2025-11-15 18:57:13.662968,1,Austre Okstindbreen,train,0.34016925,0.6214619,2,0.31073096,0,0,,0.55886775,2,0.27943388,0,0,,0.18034737,2,0.090173684,0,0,,0.0
2025-11-15 18:57:27.765555,1,Allalin,train,7.9130483,70.603714,30,2.3534572,648.68396,190.9511,3.3971207,6.1674843,27,0.22842534,0.13256817,4.03447,0.032858882,41.35059,27,1.5315033,9.705504,4.0,2.426376,0.0
2025-11-15 18:57:35.603079,1,Austre Broeggerbreen,train,1.2330363,14.942682,12,1.2452235,0,0,,0.120452344,9,0.013383594,0,0,,10.867189,9,1.2074655,0,0,,0.0
2025-11-15 18:58:17.851518,1,Tsanfleuron,train,5.62459,12.731892,15,0.8487928,61.1103,64.460754,0.9480233,11.058995,15,0.73726636,13.214597,39.03868,0.33850008,33.98225,15,2.2654834,45.833603,19.0,2.4122949,0.0
2025-11-15 18:59:21.464344,1,Claridenfirn,train,2.0796716,8.472704,30,0.28242347,38.602562,60.92034,0.6336564,7.2374907,30,0.2412497,47.536633,66.71619,0.71252024,21.027168,30,0.7009056,4.5096655,37.20673,0.121205635,0.0
2025-11-15 18:59:25.983037,1,Austre Lovenbreen,train,1.140043,8.458529,17,0.49756056,302.8273,555.0856,0.54555064,0.5432304,17,0.03195473,0,0,,11.210979,17,0.65946937,0,0,,0.0
