timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse
2025-12-09 13:26:48.529553,1,Werenskioldbreen,train,852.8286,2587.7,5,517.54,10252.523,20.0,512.62616,374.71515,3,124.90505,1647.5947,13.0,126.73806,401.3041,3,133.76804,1494.2744,11.0,135.84314
2025-12-09 13:27:30.919934,1,Engabreen,train,802.20435,14279.134,30,475.97116,68236.01,141.64978,481.72336,4130.759,29,142.43996,21521.94,140.70285,152.96022,2822.58,29,97.330345,13380.794,139.46088,95.94658
2025-12-09 13:27:47.474216,1,Groenfjord E,train,763.142,4477.674,9,497.51932,45205.46,90.0,502.2829,1093.1089,6,182.18481,13892.38,75.0,185.23172,459.41953,6,76.56992,0,0,
2025-12-09 13:28:00.049223,1,Findelen,train,976.1917,10492.84,20,524.642,146562.31,246.68,594.1394,2560.804,17,150.63553,23491.07,164.76926,142.5695,1941.7552,17,114.220894,13754.459,85.679985,160.53293
2025-12-09 13:28:16.374730,1,Hintereis F,train,835.4646,15167.091,30,505.56973,229560.72,421.4358,544.711,1779.4512,12,148.2876,36436.9,249.73973,145.89949,1284.602,12,107.05017,65.441376,0.9516897,68.76335
2025-12-09 13:28:25.458170,1,Austre Okstindbreen,train,68.867645,906.5486,2,453.2743,0,0,,324.02518,2,162.01259,0,0,,146.77905,2,73.38953,0,0,
2025-12-09 13:28:44.298907,1,Allalin,train,926.16156,16282.603,30,542.7534,110192.3,190.9511,577.07074,5663.127,27,209.74544,553.3041,4.03447,137.14418,2147.027,27,79.51952,514.9793,4.0,128.74483
2025-12-09 13:29:04.162797,1,Austre Broeggerbreen,train,78.90569,6126.117,12,510.50977,0,0,,1949.6333,9,216.62593,0,0,,557.29114,9,61.921238,0,0,
2025-12-09 13:29:24.764741,1,Tsanfleuron,train,862.62463,7875.7993,15,525.05334,33807.305,64.460754,524.4634,2052.7693,15,136.85129,5292.906,39.03868,135.58105,1897.2639,15,126.48427,2351.0857,19.0,123.741356
2025-12-09 13:29:54.649705,1,Claridenfirn,train,775.9945,15148.442,30,504.94812,28553.693,60.92034,468.7054,5464.5244,30,182.15082,11127.365,66.71619,166.78659,2470.8108,30,82.36037,2364.733,37.20673,63.55659
2025-12-09 13:30:08.052461,1,Austre Lovenbreen,train,553.3539,8188.0063,17,481.64743,266689.25,555.0856,480.44708,2772.5833,17,163.09314,0,0,,1433.5616,17,84.327156,0,0,
2025-12-09 13:30:25.247663,1,Vernagt F,train,791.5731,15174.714,30,505.82382,156905.38,285.5903,549.4072,4727.595,29,163.02052,39614.477,239.0,165.75095,2763.853,29,95.305275,0,0,
2025-12-09 13:30:45.995326,1,Langfjordjoekelen,train,782.02356,13206.626,28,471.66522,58574.445,124.0,472.37454,3818.2224,27,141.41565,15429.024,110.95238,139.05989,2569.372,27,95.16193,11268.674,112.95238,99.76482
2025-12-09 13:31:07.436014,1,Hohlaub,train,787.58264,15833.11,30,527.7704,14868.536,27.000008,550.68634,5560.628,30,185.35428,6582.8936,42.0,156.73557,2654.4792,30,88.48264,0,0,
2025-12-09 13:31:21.175663,1,Gebroulaz,train,562.3748,14143.751,29,487.71555,213844.36,416.361,513.6033,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:31:34.675257,1,Midtre Lovenbreen,train,75.203514,5828.171,12,485.6809,0,0,,2497.6123,12,208.13437,0,0,,698.6377,12,58.21981,0,0,
2025-12-09 13:31:47.257522,1,Graafjellsbrea,train,887.0063,5476.836,11,497.8942,22657.363,42.0,539.46106,1346.1027,10,134.61028,5735.328,40.731003,140.80989,1172.4448,10,117.244484,5366.7344,40.731003,131.76042
2025-12-09 13:32:08.286496,1,Storbreen,train,71.53985,14093.525,30,469.7842,0,0,,4933.035,29,170.10466,0,0,,2189.7795,29,75.509636,0,0,
2025-12-09 13:32:26.046623,1,Svenbreen,train,862.8101,4164.4473,8,520.5559,95525.23,180.0,530.69574,0,0,,5821.785,28.0,207.92091,0,0,,2019.8611,28.0,72.1379
2025-12-09 13:32:40.577925,1,Silvretta,train,753.3377,14870.006,30,495.6669,135487.95,262.07605,516.97955,4721.4565,29,162.80885,33138.812,205.30887,161.40956,2639.2922,29,91.01008,0,0,
2025-12-09 13:32:48.295513,1,Storsteinsfjellbreen,train,768.7548,465.89417,1,465.89417,2744.0696,6.0562735,453.0954,186.6204,1,186.6204,1278.7146,7.0,182.67352,62.784573,1,62.784573,289.48444,4.710435,61.45599
2025-12-09 13:33:02.497061,1,Adler,train,966.0805,10493.731,19,552.30164,29585.992,50.59452,584.7667,2645.8308,16,165.36443,4992.85,32.53198,153.47514,1846.7534,16,115.42209,3035.1262,21.0,144.52982
2025-12-09 13:33:17.329511,1,Rabots Glaciaer,train,756.4621,4900.2817,10,490.02817,24343.121,47.75546,509.74533,1704.5977,9,189.39973,30371.676,177.0,171.59138,646.4276,9,71.825294,0,0,
2025-12-09 13:33:21.102761,1,Svartisheibreen,train,43.36096,433.60956,1,433.60956,0,0,,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:33:32.035241,1,Breidablikkbrea,train,845.8276,5540.6904,11,503.69916,29209.389,57.0,512.44543,1333.0424,10,133.30424,7409.3853,56.804367,130.43689,1213.5306,10,121.353065,6711.9395,52.804367,127.10956
2025-12-09 13:33:55.756424,1,Hellstugubreen,train,855.89606,13863.349,29,478.0465,5674.7305,10.951092,518.1886,5130.7686,29,176.92305,2180.6372,11.856805,183.9144,2159.2805,29,74.45795,797.1127,9.859111,80.85036
2025-12-09 13:34:05.563863,1,Storglaciaeren,train,745.183,4782.7075,10,478.27075,226316.11,444.56955,509.06796,1665.5577,9,185.06197,123921.09,762.0,162.62611,644.0065,9,71.556274,0,0,
2025-12-09 13:34:22.444232,1,Aalfotbreen,train,803.031,14509.182,30,483.6394,84465.4,175.781,480.51495,2499.7588,29,86.19858,13843.591,155.70528,88.908936,4723.841,29,162.89107,24323.744,151.70657,160.33415
2025-12-09 13:34:30.434881,1,Marmaglaciaeren,train,776.6738,5427.041,11,493.36737,10242.895,19.853275,515.9297,1790.8488,10,179.08488,55269.176,297.77728,185.60576,789.3198,10,78.931984,0,0,
2025-12-09 13:34:51.494171,1,Hansebreen,train,843.6017,14911.369,30,497.04565,53686.61,105.53842,508.6926,2604.2788,29,89.80272,9838.259,101.76779,96.6736,4804.3623,29,165.66766,16445.463,100.9024,162.98387
2025-12-09 13:35:03.753613,1,Saint Sorlin,train,584.42896,15779.543,30,525.9848,299001.88,562.21277,531.83044,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:35:20.173131,1,Goldberg K,train,520.56824,11309.567,24,471.232,14398.977,32.0,449.96802,2848.8577,21,135.6599,0,0,,1883.0947,19,99.11025,0,0,
2025-12-09 13:35:30.740681,1,Sex Rouge,train,865.63983,6966.5894,13,535.8915,25441.002,48.0,530.0209,1913.3167,13,147.1782,4320.2534,29.145838,148.22882,1586.3654,13,122.02811,1282.564,12.0,106.88033
2025-12-09 13:35:42.725672,1,Sarenne,train,80.945816,15518.801,29,535.13104,0,0,,2633.7446,21,125.41641,0,0,,3127.1238,21,148.91066,0,0,
2025-12-09 13:35:53.654674,1,Ossoue,train,71.40253,10496.522,22,477.1147,0,0,,2627.1062,21,125.100296,0,0,,2348.017,21,111.81034,0,0,
2025-12-09 13:36:02.923289,1,Pizol,train,880.9067,7774.4185,15,518.2946,47857.09,91.0,525.9021,1744.8824,15,116.3255,5783.0664,49.95109,115.77457,2178.888,15,145.2592,4031.0525,25.0,161.2421
